timestamp, temperature.gpu, clocks.current.sm [MHz], power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/09/19 10:30:27.356, 68, 2835 MHz, 225.97 W, 100 %, 9632 MiB
2026/09/19 10:30:28.356, 68, 2835 MHz, 225.97 W, 100 %, 9632 MiB
2026/09/19 10:30:29.356, 68, 2835 MHz, 225.87 W, 100 %, 9632 MiB
2026/09/19 10:30:30.357, 70, 2835 MHz, 241.27 W, 100 %, 9632 MiB
2026/09/19 10:30:31.357, 72, 2835 MHz, 252.96 W, 100 %, 9632 MiB
2026/09/19 10:30:32.357, 71, 2835 MHz, 252.41 W, 100 %, 9632 MiB
2026/09/19 10:30:33.357, 70, 2820 MHz, 254.51 W, 100 %, 9632 MiB
2026/09/19 10:30:34.357, 70, 2820 MHz, 254.70 W, 100 %, 9632 MiB
2026/09/19 10:30:35.357, 71, 2820 MHz, 254.25 W, 99 %, 9632 MiB
2026/09/19 10:30:36.357, 71, 2820 MHz, 257.23 W, 100 %, 9632 MiB
2026/09/19 10:30:37.358, 72, 2775 MHz, 257.06 W, 100 %, 9632 MiB
2026/09/19 10:30:38.358, 68, 2835 MHz, 238.45 W, 100 %, 9632 MiB
2026/09/19 10:30:39.358, 68, 2835 MHz, 226.12 W, 100 %, 9632 MiB
2026/09/19 10:30:40.358, 68, 2835 MHz, 225.89 W, 100 %, 9632 MiB
2026/09/19 10:30:41.358, 68, 2835 MHz, 225.83 W, 100 %, 9632 MiB
2026/09/19 10:30:42.358, 70, 2835 MHz, 233.97 W, 99 %, 9632 MiB
2026/09/19 10:30:43.358, 70, 2835 MHz, 253.38 W, 99 %, 9632 MiB
2026/09/19 10:30:44.359, 72, 2820 MHz, 253.65 W, 100 %, 9632 MiB
2026/09/19 10:30:45.359, 70, 2820 MHz, 252.61 W, 99 %, 9632 MiB
2026/09/19 10:30:46.359, 70, 2820 MHz, 254.26 W, 100 %, 9632 MiB
2026/09/19 10:30:47.359, 73, 2775 MHz, 254.70 W, 100 %, 9632 MiB
2026/09/19 10:30:48.359, 73, 2775 MHz, 257.04 W, 100 %, 9632 MiB
2026/09/19 10:30:49.359, 71, 2820 MHz, 258.17 W, 99 %, 9632 MiB
2026/09/19 10:30:50.359, 68, 2835 MHz, 245.51 W, 100 %, 9632 MiB
2026/09/19 10:30:51.360, 68, 2835 MHz, 222.82 W, 100 %, 9632 MiB
2026/09/19 10:30:52.360, 68, 2835 MHz, 226.47 W, 100 %, 9632 MiB
2026/09/19 10:30:53.360, 68, 2835 MHz, 226.22 W, 100 %, 9632 MiB
2026/09/19 10:30:54.360, 69, 2835 MHz, 227.62 W, 100 %, 9632 MiB
2026/09/19 10:30:55.360, 71, 2835 MHz, 252.86 W, 100 %, 9632 MiB
2026/09/19 10:30:56.360, 70, 2835 MHz, 251.71 W, 100 %, 9632 MiB
2026/09/19 10:30:57.360, 70, 2820 MHz, 253.73 W, 100 %, 9632 MiB
2026/09/19 10:30:58.361, 71, 2820 MHz, 252.68 W, 99 %, 9632 MiB
2026/09/19 10:30:59.361, 71, 2820 MHz, 254.54 W, 100 %, 9632 MiB
2026/09/19 10:31:00.361, 71, 2805 MHz, 255.98 W, 100 %, 9632 MiB
2026/09/19 10:31:01.361, 72, 2820 MHz, 257.21 W, 100 %, 9632 MiB
2026/09/19 10:31:02.361, 73, 2775 MHz, 257.09 W, 100 %, 9632 MiB
2026/09/19 10:31:03.361, 68, 2835 MHz, 225.50 W, 100 %, 9632 MiB
2026/09/19 10:31:04.361, 68, 2835 MHz, 226.12 W, 100 %, 9632 MiB
2026/09/19 10:31:05.362, 68, 2835 MHz, 226.08 W, 100 %, 9632 MiB
2026/09/19 10:31:06.362, 68, 2835 MHz, 226.22 W, 100 %, 9632 MiB
2026/09/19 10:31:07.362, 71, 2835 MHz, 246.20 W, 99 %, 9632 MiB
2026/09/19 10:31:08.362, 71, 2835 MHz, 250.91 W, 100 %, 9632 MiB
2026/09/19 10:31:09.362, 71, 2820 MHz, 253.90 W, 100 %, 9632 MiB
2026/09/19 10:31:10.362, 71, 2820 MHz, 253.75 W, 100 %, 9632 MiB
2026/09/19 10:31:11.362, 71, 2820 MHz, 254.80 W, 99 %, 9632 MiB
2026/09/19 10:31:12.363, 71, 2820 MHz, 255.62 W, 100 %, 9632 MiB
2026/09/19 10:31:13.363, 72, 2790 MHz, 255.54 W, 100 %, 9632 MiB
2026/09/19 10:31:14.363, 71, 2820 MHz, 258.58 W, 100 %, 9632 MiB
2026/09/19 10:31:15.363, 69, 2835 MHz, 231.85 W, 100 %, 9632 MiB
2026/09/19 10:31:16.363, 68, 2835 MHz, 226.62 W, 100 %, 9632 MiB
2026/09/19 10:31:17.363, 68, 2835 MHz, 226.36 W, 100 %, 9632 MiB
2026/09/19 10:31:18.363, 68, 2835 MHz, 226.35 W, 100 %, 9632 MiB
2026/09/19 10:31:19.364, 71, 2835 MHz, 239.47 W, 100 %, 9632 MiB
2026/09/19 10:31:20.364, 70, 2820 MHz, 253.25 W, 100 %, 9632 MiB
2026/09/19 10:31:21.364, 72, 2820 MHz, 252.27 W, 100 %, 9632 MiB
2026/09/19 10:31:22.364, 71, 2820 MHz, 256.14 W, 100 %, 9632 MiB
2026/09/19 10:31:23.364, 71, 2820 MHz, 256.11 W, 100 %, 9632 MiB
2026/09/19 10:31:24.364, 71, 2820 MHz, 255.98 W, 100 %, 9632 MiB
2026/09/19 10:31:25.364, 72, 2820 MHz, 258.93 W, 100 %, 9632 MiB
2026/09/19 10:31:26.365, 73, 2775 MHz, 258.95 W, 100 %, 9632 MiB
2026/09/19 10:31:27.365, 69, 2835 MHz, 242.70 W, 100 %, 9632 MiB
2026/09/19 10:31:28.365, 68, 2835 MHz, 226.83 W, 100 %, 9632 MiB
2026/09/19 10:31:29.365, 68, 2835 MHz, 226.49 W, 100 %, 9632 MiB
2026/09/19 10:31:30.365, 68, 2835 MHz, 226.24 W, 100 %, 9632 MiB
2026/09/19 10:31:31.365, 56, 2835 MHz, 181.47 W, 10 %, 1284 MiB
2026/09/19 10:31:32.365, 54, 2835 MHz, 61.29 W, 24 %, 3374 MiB
2026/09/19 10:31:33.366, 53, 2625 MHz, 55.69 W, 21 %, 5428 MiB
2026/09/19 10:31:34.366, 52, 2625 MHz, 46.52 W, 23 %, 7450 MiB
2026/09/19 10:31:35.366, 53, 2625 MHz, 46.07 W, 22 %, 9640 MiB
2026/09/19 10:31:36.366, 68, 2820 MHz, 212.71 W, 100 %, 9640 MiB
2026/09/19 10:31:37.366, 69, 2820 MHz, 258.71 W, 100 %, 9640 MiB
2026/09/19 10:31:38.366, 69, 2820 MHz, 258.33 W, 100 %, 9640 MiB
