timestamp, temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], pstate, power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/09/19 13:13:33.922, 71, 2835 MHz, 10251 MHz, P2, 238.76 W, 100 %, 8969 MiB
2026/09/19 13:13:34.922, 70, 2835 MHz, 10251 MHz, P2, 232.40 W, 100 %, 8969 MiB
2026/09/19 13:13:35.922, 70, 2835 MHz, 10251 MHz, P2, 232.29 W, 100 %, 8969 MiB
2026/09/19 13:13:36.922, 70, 2835 MHz, 10251 MHz, P2, 231.82 W, 100 %, 8969 MiB
2026/09/19 13:13:37.922, 58, 2835 MHz, 10251 MHz, P2, 150.92 W, 7 %, 611 MiB
2026/09/19 13:13:38.922, 56, 2850 MHz, 10251 MHz, P2, 60.99 W, 21 %, 3045 MiB
2026/09/19 13:13:39.922, 54, 2625 MHz, 10251 MHz, P2, 53.62 W, 23 %, 5175 MiB
2026/09/19 13:13:40.923, 54, 2625 MHz, 10251 MHz, P2, 47.10 W, 21 %, 7259 MiB
2026/09/19 13:13:41.923, 62, 2625 MHz, 10251 MHz, P2, 73.62 W, 100 %, 8959 MiB
2026/09/19 13:13:42.923, 70, 2820 MHz, 10251 MHz, P2, 244.50 W, 100 %, 8959 MiB
2026/09/19 13:13:43.923, 71, 2820 MHz, 10251 MHz, P2, 251.31 W, 100 %, 8959 MiB
2026/09/19 13:13:44.923, 71, 2790 MHz, 10251 MHz, P2, 253.13 W, 100 %, 8959 MiB
2026/09/19 13:13:45.923, 72, 2790 MHz, 10251 MHz, P2, 254.97 W, 99 %, 8959 MiB
2026/09/19 13:13:46.923, 74, 2820 MHz, 10251 MHz, P2, 253.75 W, 100 %, 8959 MiB
2026/09/19 13:13:47.924, 74, 2820 MHz, 10251 MHz, P2, 256.67 W, 100 %, 8959 MiB
2026/09/19 13:13:48.924, 73, 2805 MHz, 10251 MHz, P2, 259.31 W, 100 %, 8959 MiB
2026/09/19 13:13:49.924, 74, 2820 MHz, 10251 MHz, P2, 256.84 W, 99 %, 8969 MiB
2026/09/19 13:13:50.924, 71, 2820 MHz, 10251 MHz, P2, 227.67 W, 100 %, 8969 MiB
2026/09/19 13:13:51.924, 71, 2820 MHz, 10251 MHz, P2, 233.96 W, 100 %, 8969 MiB
2026/09/19 13:13:52.924, 71, 2820 MHz, 10251 MHz, P2, 233.94 W, 100 %, 8969 MiB
2026/09/19 13:13:53.924, 71, 2820 MHz, 10251 MHz, P2, 234.13 W, 100 %, 8969 MiB
2026/09/19 13:13:54.925, 72, 2820 MHz, 10251 MHz, P2, 253.79 W, 100 %, 8969 MiB
2026/09/19 13:13:55.925, 73, 2820 MHz, 10251 MHz, P2, 253.18 W, 100 %, 8969 MiB
2026/09/19 13:13:56.925, 73, 2820 MHz, 10251 MHz, P2, 255.29 W, 100 %, 8969 MiB
2026/09/19 13:13:57.925, 73, 2820 MHz, 10251 MHz, P2, 255.70 W, 99 %, 8969 MiB
2026/09/19 13:13:58.925, 73, 2760 MHz, 10251 MHz, P2, 257.14 W, 100 %, 8969 MiB
2026/09/19 13:13:59.925, 73, 2760 MHz, 10251 MHz, P2, 257.98 W, 100 %, 8969 MiB
2026/09/19 13:14:00.925, 75, 2820 MHz, 10251 MHz, P2, 258.57 W, 100 %, 8969 MiB
2026/09/19 13:14:01.926, 74, 2820 MHz, 10251 MHz, P2, 259.39 W, 100 %, 8969 MiB
2026/09/19 13:14:02.926, 71, 2820 MHz, 10251 MHz, P2, 229.65 W, 100 %, 8967 MiB
2026/09/19 13:14:03.926, 71, 2820 MHz, 10251 MHz, P2, 234.70 W, 100 %, 8934 MiB
2026/09/19 13:14:04.926, 71, 2820 MHz, 10251 MHz, P2, 232.32 W, 100 %, 8934 MiB
2026/09/19 13:14:05.926, 71, 2820 MHz, 10251 MHz, P2, 224.99 W, 91 %, 576 MiB
2026/09/19 13:14:06.926, 57, 2850 MHz, 10251 MHz, P2, 72.77 W, 56 %, 2068 MiB
2026/09/19 13:14:07.927, 56, 2625 MHz, 10251 MHz, P2, 61.41 W, 20 %, 4194 MiB
2026/09/19 13:14:08.927, 55, 2625 MHz, 10251 MHz, P2, 48.76 W, 21 %, 6248 MiB
2026/09/19 13:14:09.927, 54, 2625 MHz, 10251 MHz, P2, 47.09 W, 22 %, 8924 MiB
2026/09/19 13:14:10.927, 70, 2835 MHz, 10251 MHz, P2, 174.59 W, 100 %, 8924 MiB
2026/09/19 13:14:11.927, 72, 2820 MHz, 10251 MHz, P2, 251.39 W, 100 %, 8924 MiB
2026/09/19 13:14:12.927, 72, 2820 MHz, 10251 MHz, P2, 253.60 W, 99 %, 8924 MiB
2026/09/19 13:14:13.927, 73, 2820 MHz, 10251 MHz, P2, 253.92 W, 100 %, 8924 MiB
2026/09/19 13:14:14.928, 72, 2820 MHz, 10251 MHz, P2, 256.24 W, 100 %, 8924 MiB
2026/09/19 13:14:15.928, 74, 2820 MHz, 10251 MHz, P2, 255.76 W, 99 %, 8924 MiB
2026/09/19 13:14:16.931, 74, 2820 MHz, 10251 MHz, P2, 257.65 W, 100 %, 8924 MiB
2026/09/19 13:14:17.931, 74, 2775 MHz, 10251 MHz, P2, 256.95 W, 100 %, 8924 MiB
2026/09/19 13:14:18.931, 71, 2820 MHz, 10251 MHz, P2, 238.43 W, 100 %, 8932 MiB
2026/09/19 13:14:19.931, 70, 2820 MHz, 10251 MHz, P2, 230.84 W, 100 %, 8932 MiB
2026/09/19 13:14:20.931, 71, 2820 MHz, 10251 MHz, P2, 229.77 W, 100 %, 8932 MiB
2026/09/19 13:14:21.931, 71, 2820 MHz, 10251 MHz, P2, 229.10 W, 100 %, 8931 MiB
2026/09/19 13:14:22.931, 73, 2820 MHz, 10251 MHz, P2, 238.07 W, 100 %, 8931 MiB
2026/09/19 13:14:23.932, 73, 2820 MHz, 10251 MHz, P2, 253.40 W, 99 %, 8931 MiB
2026/09/19 13:14:24.932, 73, 2820 MHz, 10251 MHz, P2, 253.03 W, 100 %, 8931 MiB
2026/09/19 13:14:25.932, 74, 2820 MHz, 10251 MHz, P2, 255.99 W, 99 %, 8931 MiB
2026/09/19 13:14:26.932, 74, 2790 MHz, 10251 MHz, P2, 257.06 W, 100 %, 8931 MiB
2026/09/19 13:14:27.932, 73, 2820 MHz, 10251 MHz, P2, 257.49 W, 100 %, 8931 MiB
2026/09/19 13:14:28.932, 74, 2820 MHz, 10251 MHz, P2, 258.56 W, 99 %, 8931 MiB
2026/09/19 13:14:29.932, 75, 2820 MHz, 10251 MHz, P2, 257.88 W, 100 %, 8931 MiB
2026/09/19 13:14:30.933, 71, 2820 MHz, 10251 MHz, P2, 245.30 W, 96 %, 8931 MiB
2026/09/19 13:14:31.933, 71, 2820 MHz, 10251 MHz, P2, 226.98 W, 100 %, 8931 MiB
2026/09/19 13:14:32.933, 71, 2820 MHz, 10251 MHz, P2, 229.59 W, 100 %, 8931 MiB
2026/09/19 13:14:33.933, 71, 2820 MHz, 10251 MHz, P2, 229.53 W, 100 %, 8931 MiB
2026/09/19 13:14:34.933, 59, 2835 MHz, 10251 MHz, P2, 196.95 W, 22 %, 575 MiB
2026/09/19 13:14:35.933, 57, 2850 MHz, 10251 MHz, P2, 63.61 W, 23 %, 2413 MiB
2026/09/19 13:14:36.933, 55, 2625 MHz, 10251 MHz, P2, 59.30 W, 23 %, 4513 MiB
2026/09/19 13:14:37.934, 55, 2625 MHz, 10251 MHz, P2, 47.64 W, 22 %, 6603 MiB
2026/09/19 13:14:38.934, 54, 2625 MHz, 10251 MHz, P2, 47.30 W, 21 %, 8923 MiB
2026/09/19 13:14:39.934, 70, 2820 MHz, 10251 MHz, P2, 203.88 W, 99 %, 8923 MiB
2026/09/19 13:14:40.934, 72, 2820 MHz, 10251 MHz, P2, 250.82 W, 100 %, 8923 MiB
2026/09/19 13:14:41.934, 72, 2820 MHz, 10251 MHz, P2, 254.45 W, 100 %, 8923 MiB
2026/09/19 13:14:42.934, 73, 2820 MHz, 10251 MHz, P2, 255.53 W, 100 %, 8923 MiB
2026/09/19 13:14:43.935, 73, 2820 MHz, 10251 MHz, P2, 255.70 W, 99 %, 8923 MiB
2026/09/19 13:14:44.935, 73, 2820 MHz, 10251 MHz, P2, 256.24 W, 100 %, 8923 MiB
2026/09/19 13:14:45.935, 73, 2790 MHz, 10251 MHz, P2, 257.11 W, 100 %, 8923 MiB
2026/09/19 13:14:46.935, 73, 2820 MHz, 10251 MHz, P2, 257.20 W, 100 %, 8922 MiB
2026/09/19 13:14:47.935, 71, 2820 MHz, 10251 MHz, P2, 233.05 W, 100 %, 8929 MiB
2026/09/19 13:14:48.935, 70, 2820 MHz, 10251 MHz, P2, 229.65 W, 100 %, 8930 MiB
2026/09/19 13:14:49.935, 70, 2820 MHz, 10251 MHz, P2, 229.31 W, 100 %, 8931 MiB
2026/09/19 13:14:50.935, 70, 2820 MHz, 10251 MHz, P2, 229.37 W, 100 %, 8931 MiB
2026/09/19 13:14:51.936, 73, 2820 MHz, 10251 MHz, P2, 242.66 W, 100 %, 8931 MiB
2026/09/19 13:14:52.936, 73, 2820 MHz, 10251 MHz, P2, 253.64 W, 100 %, 8931 MiB
2026/09/19 13:14:53.936, 74, 2820 MHz, 10251 MHz, P2, 253.19 W, 100 %, 8931 MiB
2026/09/19 13:14:54.936, 73, 2760 MHz, 10251 MHz, P2, 254.47 W, 100 %, 8948 MiB
2026/09/19 13:14:55.939, 75, 2820 MHz, 10251 MHz, P2, 254.96 W, 100 %, 8948 MiB
2026/09/19 13:14:56.939, 74, 2760 MHz, 10251 MHz, P2, 256.15 W, 100 %, 8948 MiB
2026/09/19 13:14:57.939, 75, 2820 MHz, 10251 MHz, P2, 256.79 W, 100 %, 8945 MiB
2026/09/19 13:14:58.939, 74, 2760 MHz, 10251 MHz, P2, 258.17 W, 100 %, 8944 MiB
2026/09/19 13:14:59.939, 71, 2820 MHz, 10251 MHz, P2, 241.55 W, 100 %, 8945 MiB
2026/09/19 13:15:00.940, 71, 2820 MHz, 10251 MHz, P2, 232.17 W, 100 %, 8941 MiB
2026/09/19 13:15:01.940, 71, 2820 MHz, 10251 MHz, P2, 232.31 W, 100 %, 8940 MiB
2026/09/19 13:15:02.940, 71, 2820 MHz, 10251 MHz, P2, 231.96 W, 100 %, 8939 MiB
2026/09/19 13:15:03.940, 58, 2835 MHz, 10251 MHz, P2, 164.11 W, 8 %, 583 MiB
2026/09/19 13:15:04.940, 57, 2850 MHz, 10251 MHz, P2, 62.07 W, 22 %, 2940 MiB
2026/09/19 13:15:05.940, 55, 2625 MHz, 10251 MHz, P2, 56.53 W, 21 %, 5065 MiB
2026/09/19 13:15:06.941, 55, 2625 MHz, 10251 MHz, P2, 47.47 W, 23 %, 7121 MiB
2026/09/19 13:15:07.941, 65, 2850 MHz, 10251 MHz, P2, 60.55 W, 100 %, 8922 MiB
2026/09/19 13:15:08.941, 71, 2820 MHz, 10251 MHz, P2, 246.67 W, 100 %, 8922 MiB
2026/09/19 13:15:09.941, 71, 2820 MHz, 10251 MHz, P2, 252.50 W, 99 %, 8922 MiB
2026/09/19 13:15:10.941, 73, 2820 MHz, 10251 MHz, P2, 254.20 W, 100 %, 8922 MiB
2026/09/19 13:15:11.941, 73, 2820 MHz, 10251 MHz, P2, 256.72 W, 99 %, 8922 MiB
2026/09/19 13:15:12.942, 75, 2760 MHz, 10251 MHz, P2, 256.41 W, 100 %, 8922 MiB
2026/09/19 13:15:13.942, 74, 2760 MHz, 10251 MHz, P2, 257.72 W, 100 %, 8922 MiB
2026/09/19 13:15:14.942, 73, 2820 MHz, 10251 MHz, P2, 260.22 W, 100 %, 8922 MiB
2026/09/19 13:15:15.942, 75, 2760 MHz, 10251 MHz, P2, 258.76 W, 100 %, 8932 MiB
2026/09/19 13:15:16.942, 72, 2820 MHz, 10251 MHz, P2, 230.47 W, 100 %, 8932 MiB
2026/09/19 13:15:17.942, 71, 2820 MHz, 10251 MHz, P2, 234.62 W, 100 %, 8932 MiB
2026/09/19 13:15:18.942, 71, 2820 MHz, 10251 MHz, P2, 234.34 W, 100 %, 8932 MiB
2026/09/19 13:15:19.943, 72, 2820 MHz, 10251 MHz, P2, 234.21 W, 91 %, 8932 MiB
2026/09/19 13:15:20.943, 73, 2820 MHz, 10251 MHz, P2, 253.43 W, 100 %, 8932 MiB
2026/09/19 13:15:21.943, 74, 2805 MHz, 10251 MHz, P2, 252.32 W, 99 %, 8932 MiB
2026/09/19 13:15:22.943, 75, 2775 MHz, 10251 MHz, P2, 254.16 W, 100 %, 8932 MiB
2026/09/19 13:15:23.943, 74, 2805 MHz, 10251 MHz, P2, 255.27 W, 100 %, 8932 MiB
2026/09/19 13:15:24.943, 74, 2820 MHz, 10251 MHz, P2, 256.25 W, 100 %, 8932 MiB
2026/09/19 13:15:25.943, 74, 2820 MHz, 10251 MHz, P2, 257.78 W, 100 %, 8932 MiB
2026/09/19 13:15:26.944, 74, 2805 MHz, 10251 MHz, P2, 258.33 W, 100 %, 8932 MiB
2026/09/19 13:15:27.944, 74, 2820 MHz, 10251 MHz, P2, 259.64 W, 100 %, 8932 MiB
2026/09/19 13:15:28.944, 72, 2820 MHz, 10251 MHz, P2, 229.77 W, 100 %, 8932 MiB
2026/09/19 13:15:29.944, 72, 2820 MHz, 10251 MHz, P2, 233.09 W, 100 %, 8932 MiB
2026/09/19 13:15:30.944, 71, 2820 MHz, 10251 MHz, P2, 232.49 W, 100 %, 8932 MiB
