timestamp, memory.used [MiB], utilization.gpu [%], temperature.gpu, clocks.current.sm [MHz], power.draw [W]
2026/09/19 15:19:29.804, 8446 MiB, 100 %, 73, 2775 MHz, 283.32 W
2026/09/19 15:19:30.804, 8446 MiB, 100 %, 65, 2820 MHz, 224.21 W
2026/09/19 15:19:31.804, 8446 MiB, 100 %, 65, 2820 MHz, 189.45 W
2026/09/19 15:19:32.804, 8446 MiB, 98 %, 74, 2805 MHz, 259.32 W
2026/09/19 15:19:33.804, 8446 MiB, 100 %, 73, 2775 MHz, 282.15 W
2026/09/19 15:19:34.805, 8446 MiB, 100 %, 66, 2820 MHz, 248.69 W
2026/09/19 15:19:35.805, 8446 MiB, 99 %, 65, 2820 MHz, 190.04 W
2026/09/19 15:19:36.805, 880 MiB, 0 %, 55, 2850 MHz, 120.35 W
2026/09/19 15:19:37.805, 1540 MiB, 0 %, 54, 2850 MHz, 55.98 W
2026/09/19 15:19:38.805, 5426 MiB, 47 %, 53, 2850 MHz, 52.17 W
2026/09/19 15:19:39.805, 8446 MiB, 99 %, 65, 2835 MHz, 105.90 W
2026/09/19 15:19:40.806, 8446 MiB, 97 %, 65, 2835 MHz, 222.08 W
2026/09/19 15:19:41.806, 8446 MiB, 100 %, 67, 2835 MHz, 221.68 W
2026/09/19 15:19:42.806, 8446 MiB, 94 %, 67, 2820 MHz, 250.05 W
2026/09/19 15:19:43.806, 8446 MiB, 100 %, 66, 2820 MHz, 203.60 W
2026/09/19 15:19:44.806, 8446 MiB, 100 %, 73, 2805 MHz, 239.74 W
2026/09/19 15:19:45.806, 8446 MiB, 99 %, 66, 2820 MHz, 215.01 W
2026/09/19 15:19:46.807, 8446 MiB, 100 %, 73, 2820 MHz, 227.34 W
2026/09/19 15:19:47.807, 8446 MiB, 100 %, 74, 2760 MHz, 281.42 W
2026/09/19 15:19:48.807, 8446 MiB, 100 %, 74, 2730 MHz, 283.28 W
2026/09/19 15:19:49.807, 8446 MiB, 100 %, 66, 2820 MHz, 204.12 W
2026/09/19 15:19:50.807, 8446 MiB, 99 %, 71, 2820 MHz, 196.89 W
2026/09/19 15:19:51.807, 8446 MiB, 100 %, 75, 2790 MHz, 280.12 W
2026/09/19 15:19:52.807, 8446 MiB, 100 %, 75, 2775 MHz, 282.87 W
2026/09/19 15:19:53.808, 8446 MiB, 99 %, 66, 2820 MHz, 228.35 W
2026/09/19 15:19:54.808, 8446 MiB, 100 %, 66, 2820 MHz, 190.38 W
2026/09/19 15:19:55.808, 880 MiB, 0 %, 55, 2835 MHz, 93.63 W
2026/09/19 15:19:56.808, 1540 MiB, 0 %, 54, 2835 MHz, 56.29 W
2026/09/19 15:19:57.808, 6462 MiB, 49 %, 54, 2850 MHz, 53.54 W
2026/09/19 15:19:58.809, 8446 MiB, 99 %, 66, 2835 MHz, 137.97 W
2026/09/19 15:19:59.809, 8446 MiB, 100 %, 67, 2835 MHz, 218.58 W
2026/09/19 15:20:00.809, 8445 MiB, 99 %, 67, 2835 MHz, 224.06 W
2026/09/19 15:20:01.809, 8445 MiB, 100 %, 67, 2835 MHz, 246.82 W
