timestamp, memory.used [MiB], utilization.gpu [%], temperature.gpu, clocks.current.sm [MHz], power.draw [W]
2026/09/19 13:39:25.840, 9116 MiB, 100 %, 73, 2805 MHz, 255.34 W
2026/09/19 13:39:26.840, 9116 MiB, 100 %, 73, 2790 MHz, 270.67 W
2026/09/19 13:39:27.840, 9116 MiB, 100 %, 73, 2715 MHz, 266.83 W
2026/09/19 13:39:28.840, 9116 MiB, 100 %, 73, 2760 MHz, 263.17 W
2026/09/19 13:39:29.841, 9116 MiB, 100 %, 74, 2715 MHz, 262.73 W
2026/09/19 13:39:30.841, 9116 MiB, 100 %, 74, 2730 MHz, 262.22 W
2026/09/19 13:39:31.841, 9116 MiB, 100 %, 73, 2745 MHz, 263.09 W
2026/09/19 13:39:32.841, 9116 MiB, 100 %, 68, 2820 MHz, 256.96 W
2026/09/19 13:39:33.841, 9116 MiB, 100 %, 71, 2820 MHz, 226.96 W
2026/09/19 13:39:34.841, 9116 MiB, 100 %, 70, 2820 MHz, 233.00 W
2026/09/19 13:39:35.841, 9118 MiB, 100 %, 70, 2820 MHz, 232.57 W
2026/09/19 13:39:36.842, 9118 MiB, 100 %, 72, 2820 MHz, 238.06 W
2026/09/19 13:39:37.842, 9117 MiB, 100 %, 74, 2760 MHz, 271.46 W
2026/09/19 13:39:38.842, 9117 MiB, 100 %, 74, 2715 MHz, 268.41 W
2026/09/19 13:39:39.842, 9116 MiB, 100 %, 73, 2685 MHz, 265.70 W
2026/09/19 13:39:40.842, 9116 MiB, 100 %, 74, 2670 MHz, 264.93 W
2026/09/19 13:39:41.842, 9116 MiB, 99 %, 73, 2745 MHz, 264.94 W
2026/09/19 13:39:42.842, 9116 MiB, 100 %, 75, 2715 MHz, 264.14 W
2026/09/19 13:39:43.843, 9116 MiB, 100 %, 74, 2670 MHz, 265.93 W
2026/09/19 13:39:44.843, 9116 MiB, 100 %, 71, 2820 MHz, 236.35 W
2026/09/19 13:39:45.843, 9116 MiB, 100 %, 71, 2820 MHz, 233.30 W
2026/09/19 13:39:46.843, 9116 MiB, 100 %, 70, 2820 MHz, 232.68 W
2026/09/19 13:39:47.843, 893 MiB, 100 %, 70, 2820 MHz, 232.37 W
2026/09/19 13:39:48.843, 1658 MiB, 5 %, 56, 2850 MHz, 104.34 W
2026/09/19 13:39:49.843, 3860 MiB, 21 %, 55, 2850 MHz, 61.05 W
2026/09/19 13:39:50.844, 5984 MiB, 23 %, 54, 2625 MHz, 51.12 W
2026/09/19 13:39:51.844, 7991 MiB, 21 %, 53, 2625 MHz, 46.94 W
2026/09/19 13:39:52.844, 9126 MiB, 100 %, 68, 2835 MHz, 117.65 W
2026/09/19 13:39:53.844, 9127 MiB, 100 %, 70, 2835 MHz, 259.70 W
2026/09/19 13:39:54.844, 9127 MiB, 100 %, 71, 2820 MHz, 261.57 W
2026/09/19 13:39:55.844, 9127 MiB, 100 %, 71, 2835 MHz, 247.71 W
2026/09/19 13:39:56.845, 9126 MiB, 100 %, 72, 2820 MHz, 263.16 W
2026/09/19 13:39:57.845, 9125 MiB, 100 %, 72, 2820 MHz, 263.09 W
2026/09/19 13:39:58.845, 9116 MiB, 100 %, 72, 2820 MHz, 262.83 W
2026/09/19 13:39:59.845, 9115 MiB, 100 %, 74, 2790 MHz, 271.81 W
2026/09/19 13:40:00.845, 9115 MiB, 100 %, 71, 2820 MHz, 250.91 W
2026/09/19 13:40:01.845, 9115 MiB, 100 %, 71, 2820 MHz, 243.40 W
2026/09/19 13:40:02.845, 9115 MiB, 100 %, 71, 2820 MHz, 243.76 W
2026/09/19 13:40:03.846, 9114 MiB, 100 %, 71, 2820 MHz, 243.70 W
2026/09/19 13:40:04.846, 9115 MiB, 99 %, 74, 2805 MHz, 263.08 W
2026/09/19 13:40:05.846, 9115 MiB, 100 %, 74, 2775 MHz, 271.86 W
2026/09/19 13:40:06.846, 9115 MiB, 100 %, 71, 2820 MHz, 238.25 W
2026/09/19 13:40:07.846, 9114 MiB, 100 %, 71, 2820 MHz, 243.74 W
2026/09/19 13:40:08.846, 9115 MiB, 100 %, 71, 2820 MHz, 243.73 W
2026/09/19 13:40:09.846, 9115 MiB, 99 %, 73, 2805 MHz, 248.99 W
2026/09/19 13:40:10.847, 9115 MiB, 99 %, 75, 2760 MHz, 271.09 W
2026/09/19 13:40:11.847, 9115 MiB, 100 %, 74, 2790 MHz, 269.32 W
2026/09/19 13:40:12.847, 9116 MiB, 100 %, 74, 2775 MHz, 267.10 W
2026/09/19 13:40:13.847, 9116 MiB, 100 %, 75, 2745 MHz, 265.24 W
2026/09/19 13:40:14.847, 9115 MiB, 100 %, 74, 2715 MHz, 264.08 W
2026/09/19 13:40:15.847, 9115 MiB, 100 %, 74, 2790 MHz, 265.16 W
2026/09/19 13:40:16.847, 9115 MiB, 100 %, 74, 2775 MHz, 265.38 W
2026/09/19 13:40:17.848, 9115 MiB, 100 %, 71, 2820 MHz, 235.13 W
2026/09/19 13:40:18.848, 9115 MiB, 100 %, 71, 2820 MHz, 232.97 W
2026/09/19 13:40:19.848, 9115 MiB, 100 %, 71, 2820 MHz, 232.98 W
2026/09/19 13:40:20.848, 9114 MiB, 100 %, 71, 2820 MHz, 232.83 W
2026/09/19 13:40:21.848, 9115 MiB, 100 %, 75, 2790 MHz, 262.07 W
2026/09/19 13:40:22.848, 9115 MiB, 99 %, 75, 2805 MHz, 271.11 W
2026/09/19 13:40:23.848, 9115 MiB, 100 %, 75, 2775 MHz, 267.50 W
2026/09/19 13:40:24.848, 9114 MiB, 100 %, 75, 2685 MHz, 265.96 W
2026/09/19 13:40:25.849, 9115 MiB, 100 %, 74, 2760 MHz, 264.64 W
2026/09/19 13:40:26.849, 9115 MiB, 100 %, 76, 2700 MHz, 264.21 W
2026/09/19 13:40:27.849, 9115 MiB, 100 %, 74, 2745 MHz, 265.52 W
2026/09/19 13:40:28.849, 9114 MiB, 100 %, 71, 2820 MHz, 247.43 W
2026/09/19 13:40:29.849, 9115 MiB, 100 %, 71, 2820 MHz, 233.29 W
2026/09/19 13:40:30.849, 9115 MiB, 100 %, 71, 2820 MHz, 233.25 W
2026/09/19 13:40:31.849, 9115 MiB, 100 %, 71, 2820 MHz, 233.02 W
2026/09/19 13:40:32.850, 758 MiB, 8 %, 58, 2835 MHz, 165.45 W
2026/09/19 13:40:33.850, 3193 MiB, 23 %, 56, 2835 MHz, 61.90 W
2026/09/19 13:40:34.850, 5317 MiB, 24 %, 55, 2625 MHz, 56.15 W
2026/09/19 13:40:35.850, 7487 MiB, 22 %, 54, 2625 MHz, 47.30 W
2026/09/19 13:40:36.850, 9114 MiB, 94 %, 64, 2835 MHz, 64.86 W
2026/09/19 13:40:37.850, 9115 MiB, 100 %, 71, 2820 MHz, 248.31 W
2026/09/19 13:40:38.851, 9115 MiB, 100 %, 71, 2820 MHz, 261.42 W
2026/09/19 13:40:39.851, 9115 MiB, 99 %, 65, 2835 MHz, 253.85 W
2026/09/19 13:40:40.851, 9114 MiB, 100 %, 73, 2820 MHz, 248.92 W
2026/09/19 13:40:41.851, 9115 MiB, 100 %, 72, 2820 MHz, 263.73 W
2026/09/19 13:40:42.851, 9115 MiB, 96 %, 72, 2820 MHz, 259.86 W
2026/09/19 13:40:43.851, 9115 MiB, 100 %, 73, 2820 MHz, 254.80 W
2026/09/19 13:40:44.851, 9114 MiB, 100 %, 69, 2820 MHz, 254.18 W
2026/09/19 13:40:45.851, 9115 MiB, 100 %, 72, 2820 MHz, 236.20 W
2026/09/19 13:40:46.852, 9115 MiB, 100 %, 72, 2820 MHz, 246.04 W
2026/09/19 13:40:47.852, 9115 MiB, 100 %, 72, 2820 MHz, 246.29 W
2026/09/19 13:40:48.852, 9114 MiB, 100 %, 73, 2820 MHz, 249.45 W
2026/09/19 13:40:49.852, 9115 MiB, 99 %, 73, 2820 MHz, 256.38 W
2026/09/19 13:40:50.852, 9115 MiB, 100 %, 72, 2820 MHz, 240.07 W
2026/09/19 13:40:51.852, 9115 MiB, 100 %, 72, 2820 MHz, 246.35 W
2026/09/19 13:40:52.852, 9114 MiB, 100 %, 72, 2820 MHz, 245.28 W
2026/09/19 13:40:53.853, 9115 MiB, 100 %, 72, 2820 MHz, 244.24 W
2026/09/19 13:40:54.853, 9115 MiB, 99 %, 73, 2820 MHz, 251.42 W
2026/09/19 13:40:55.853, 9115 MiB, 100 %, 73, 2790 MHz, 254.39 W
2026/09/19 13:40:56.853, 9114 MiB, 100 %, 73, 2790 MHz, 254.97 W
2026/09/19 13:40:57.853, 9115 MiB, 100 %, 73, 2820 MHz, 256.21 W
2026/09/19 13:40:58.853, 9115 MiB, 99 %, 75, 2775 MHz, 257.68 W
2026/09/19 13:40:59.853, 9115 MiB, 100 %, 76, 2805 MHz, 259.08 W
2026/09/19 13:41:00.854, 9114 MiB, 100 %, 74, 2760 MHz, 260.21 W
2026/09/19 13:41:01.854, 9115 MiB, 100 %, 76, 2805 MHz, 260.09 W
2026/09/19 13:41:02.854, 9116 MiB, 100 %, 71, 2820 MHz, 234.98 W
2026/09/19 13:41:03.854, 9116 MiB, 100 %, 71, 2820 MHz, 233.30 W
2026/09/19 13:41:04.854, 9115 MiB, 100 %, 71, 2820 MHz, 233.33 W
2026/09/19 13:41:05.854, 9115 MiB, 100 %, 71, 2820 MHz, 233.15 W
2026/09/19 13:41:06.854, 9115 MiB, 100 %, 73, 2820 MHz, 247.81 W
2026/09/19 13:41:07.855, 9115 MiB, 100 %, 73, 2820 MHz, 254.68 W
2026/09/19 13:41:08.855, 9114 MiB, 100 %, 73, 2775 MHz, 256.52 W
2026/09/19 13:41:09.855, 9114 MiB, 100 %, 74, 2820 MHz, 256.61 W
2026/09/19 13:41:10.855, 9115 MiB, 100 %, 75, 2790 MHz, 257.75 W
2026/09/19 13:41:11.855, 9115 MiB, 100 %, 75, 2820 MHz, 257.53 W
2026/09/19 13:41:12.855, 9114 MiB, 100 %, 75, 2760 MHz, 259.64 W
2026/09/19 13:41:13.855, 9115 MiB, 100 %, 76, 2805 MHz, 259.19 W
2026/09/19 13:41:14.856, 9115 MiB, 100 %, 71, 2820 MHz, 237.07 W
2026/09/19 13:41:15.856, 9115 MiB, 100 %, 71, 2820 MHz, 233.24 W
2026/09/19 13:41:16.856, 9115 MiB, 100 %, 72, 2820 MHz, 232.69 W
2026/09/19 13:41:17.856, 895 MiB, 100 %, 71, 2820 MHz, 232.58 W
2026/09/19 13:41:18.856, 1559 MiB, 6 %, 58, 2850 MHz, 128.40 W
2026/09/19 13:41:19.856, 3712 MiB, 24 %, 56, 2850 MHz, 61.00 W
2026/09/19 13:41:20.857, 5811 MiB, 24 %, 55, 2625 MHz, 51.27 W
2026/09/19 13:41:21.857, 7945 MiB, 23 %, 54, 2625 MHz, 47.25 W
2026/09/19 13:41:22.857, 9115 MiB, 100 %, 69, 2835 MHz, 111.15 W
2026/09/19 13:41:23.857, 9115 MiB, 100 %, 71, 2820 MHz, 262.14 W
2026/09/19 13:41:24.857, 9115 MiB, 100 %, 72, 2820 MHz, 261.95 W
2026/09/19 13:41:25.857, 9115 MiB, 100 %, 71, 2820 MHz, 247.67 W
2026/09/19 13:41:26.860, 9114 MiB, 100 %, 73, 2820 MHz, 263.57 W
2026/09/19 13:41:27.860, 9115 MiB, 100 %, 73, 2820 MHz, 261.25 W
2026/09/19 13:41:28.860, 9115 MiB, 100 %, 72, 2820 MHz, 257.44 W
2026/09/19 13:41:29.861, 9115 MiB, 100 %, 73, 2820 MHz, 253.89 W
2026/09/19 13:41:30.861, 9114 MiB, 100 %, 68, 2820 MHz, 243.68 W
2026/09/19 13:41:31.861, 9115 MiB, 100 %, 72, 2820 MHz, 236.00 W
2026/09/19 13:41:32.861, 9116 MiB, 100 %, 71, 2820 MHz, 243.31 W
2026/09/19 13:41:33.861, 9116 MiB, 100 %, 72, 2820 MHz, 243.21 W
2026/09/19 13:41:34.861, 9115 MiB, 100 %, 73, 2820 MHz, 248.16 W
